Date,Open,High,Low,Close,Adj Close,Volume
2003-12-01,8.608400,8.799600,8.338900,8.646200,8.646200,0
2004-01-01,8.622100,8.753700,8.199000,8.333700,8.333700,0
2004-02-01,8.333700,8.493800,8.067900,8.277200,8.277200,0
2004-03-01,8.282100,8.602800,8.038600,8.477100,8.477100,0
2004-04-01,8.478100,8.594400,8.230700,8.278900,8.278900,0
2004-05-01,8.284600,8.475900,8.168000,8.384300,8.384300,0
2004-06-01,8.384300,8.609400,8.107000,8.601100,8.601100,0
2004-07-01,8.597900,8.766500,8.521400,8.616700,8.616700,0
2004-08-01,8.616700,8.752500,8.514700,8.657700,8.657700,0
2004-09-01,8.655800,9.016300,8.610300,8.997800,8.997800,0
2004-10-01,8.997800,9.508100,8.833700,9.473000,9.473000,0
2004-11-01,9.473000,9.615700,9.286700,9.432900,9.432900,0
2004-12-01,9.429700,9.445500,8.939700,9.243800,9.243800,0
2005-01-01,9.243800,9.345800,8.988100,8.990100,8.990100,0
2005-02-01,8.990800,9.075900,8.835000,8.981800,8.981800,0
2005-03-01,8.981000,9.372900,8.817500,9.223900,9.223900,0
2005-04-01,9.221700,9.236100,8.707400,8.707400,8.707400,0
2005-05-01,8.707400,8.930200,8.586800,8.667700,8.667700,0
2005-06-01,8.668400,8.811200,8.575200,8.763400,8.763400,0
2005-07-01,8.746600,8.907200,8.355000,8.651000,8.651000,0
2005-08-01,8.655300,9.178100,4.338200,9.050800,9.050800,0
2005-09-01,9.050800,9.304400,8.907400,9.245600,9.245600,0
2005-10-01,9.245600,9.365000,9.016800,9.114200,9.114200,0
2005-11-01,9.115000,9.246200,8.848100,9.042700,9.042700,0
2005-12-01,9.051700,9.334800,8.909400,9.136700,9.136700,0
2006-01-01,9.136700,9.228400,8.896200,9.172500,9.172500,0
2006-02-01,9.167200,9.226800,8.892200,9.209500,9.209500,0
2006-03-01,9.218300,9.446500,9.127000,9.310200,9.310200,0
2006-04-01,9.310200,9.920100,9.191300,9.885900,9.885900,0
2006-05-01,9.886400,10.347000,9.774700,10.246000,10.246000,0
2006-06-01,10.250000,10.423000,10.066000,10.158000,10.158000,0
2006-07-01,10.158000,10.309000,9.517100,9.687900,9.687900,0
2006-08-01,9.690500,9.910300,9.544700,9.856000,9.856000,0
2006-09-01,9.855600,9.995500,9.673700,9.826700,9.826700,0
2006-10-01,9.826700,9.882100,9.460000,9.561000,9.561000,0
2006-11-01,9.561000,9.831300,9.447500,9.600600,9.600600,0
2006-12-01,9.600200,9.654500,9.239400,9.258500,9.258500,0
2007-01-01,9.259300,9.429100,9.170500,9.350900,9.350900,0
2007-02-01,9.350900,9.624600,9.189400,9.526200,9.526200,0
2007-03-01,9.527000,9.611100,9.405800,9.568700,9.568700,0
2007-04-01,9.568700,9.888000,9.445400,9.883300,9.883300,0
2007-05-01,9.885100,10.131000,9.665800,10.037000,10.037000,0
2007-06-01,10.036000,10.390000,9.997500,10.125000,10.125000,0
2007-07-01,10.125000,10.459000,10.109000,10.298000,10.298000,0
2007-08-01,10.299000,10.548000,10.260000,10.422000,10.422000,0
2007-09-01,10.422000,11.042000,10.422000,11.007000,11.007000,0
2007-10-01,11.007000,11.310000,10.870000,11.234000,11.234000,0
2007-11-01,11.235000,11.832000,10.857000,10.894000,10.894000,0
2007-12-01,10.894000,11.170000,10.565000,10.907000,10.907000,0
2008-01-01,10.901000,11.057000,10.557000,10.801000,10.801000,0
2008-02-01,10.803000,10.991000,10.555000,10.822000,10.822000,0
2008-03-01,10.875000,11.126000,10.324000,10.370000,10.370000,0
2008-04-01,10.316000,10.519000,10.194000,10.401000,10.401000,0
2008-05-01,10.303000,10.578000,10.206000,10.365000,10.365000,0
2008-06-01,10.366000,10.399000,10.014000,10.101000,10.101000,0
2008-07-01,10.135000,10.357000,9.761800,9.797200,9.797200,0
2008-08-01,9.659400,9.783500,9.593700,9.671200,9.671200,0
2008-09-01,9.669800,10.622000,9.602400,10.277000,10.277000,0
2008-10-01,10.277000,12.624000,10.086000,10.536000,10.536000,0
2008-11-01,10.536000,11.144000,10.455000,10.852000,10.852000,0
2008-12-01,10.850000,11.420000,10.559000,11.152000,11.152000,0
2009-01-01,11.120000,11.740000,10.872000,11.672000,11.672000,0
2009-02-01,11.672000,12.024000,11.338000,11.952000,11.952000,0
2009-03-01,11.952000,12.050000,11.006000,11.215000,11.215000,0
