"REF_DATE","GEO","DGUID","Receipts, payments and balances","Current account and capital account","Countries or regions","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","Canada","2016A000011124","Receipts","Total current account","All countries","Dollars","81","millions","6","v61914308","1.1.1.1","557834","","","","0"
"2011","Canada","2016A000011124","Receipts","Total current account","All countries","Dollars","81","millions","6","v61914308","1.1.1.1","623092","","","","0"
"2012","Canada","2016A000011124","Receipts","Total current account","All countries","Dollars","81","millions","6","v61914308","1.1.1.1","636520","","","","0"
"2013","Canada","2016A000011124","Receipts","Total current account","All countries","Dollars","81","millions","6","v61914308","1.1.1.1","662459","","","","0"
"2014","Canada","2016A000011124","Receipts","Total current account","All countries","Dollars","81","millions","6","v61914308","1.1.1.1","729837","","","","0"
"2015","Canada","2016A000011124","Receipts","Total current account","All countries","Dollars","81","millions","6","v61914308","1.1.1.1","737306","","","","0"
"2016","Canada","2016A000011124","Receipts","Total current account","All countries","Dollars","81","millions","6","v61914308","1.1.1.1","749245","","","","0"
"2017","Canada","2016A000011124","Receipts","Total current account","All countries","Dollars","81","millions","6","v61914308","1.1.1.1","801843","","","","0"
"2018","Canada","2016A000011124","Receipts","Total current account","All countries","Dollars","81","millions","6","v61914308","1.1.1.1","873419","","","","0"
"2019","Canada","2016A000011124","Receipts","Total current account","All countries","Dollars","81","millions","6","v61914308","1.1.1.1","911185","","","","0"
"2020","Canada","2016A000011124","Receipts","Total current account","All countries","Dollars","81","millions","6","v61914308","1.1.1.1","799295","","","","0"
"2021","Canada","2016A000011124","Receipts","Total current account","All countries","Dollars","81","millions","6","v61914308","1.1.1.1","949111","","","","0"
"2022","Canada","2016A000011124","Receipts","Total current account","All countries","Dollars","81","millions","6","v61914308","1.1.1.1","1143281","","","","0"
"2023","Canada","2016A000011124","Receipts","Total current account","All countries","Dollars","81","millions","6","v61914308","1.1.1.1","1210505","","","","0"
"2010","Canada","2016A000011124","Receipts","Goods and services","All countries","Dollars","81","millions","6","v61914316","1.1.2.1","485941","","","","0"
"2011","Canada","2016A000011124","Receipts","Goods and services","All countries","Dollars","81","millions","6","v61914316","1.1.2.1","544253","","","","0"
"2012","Canada","2016A000011124","Receipts","Goods and services","All countries","Dollars","81","millions","6","v61914316","1.1.2.1","554611","","","","0"
"2013","Canada","2016A000011124","Receipts","Goods and services","All countries","Dollars","81","millions","6","v61914316","1.1.2.1","576989","","","","0"
"2014","Canada","2016A000011124","Receipts","Goods and services","All countries","Dollars","81","millions","6","v61914316","1.1.2.1","633112","","","","0"
"2015","Canada","2016A000011124","Receipts","Goods and services","All countries","Dollars","81","millions","6","v61914316","1.1.2.1","633954","","","","0"
"2016","Canada","2016A000011124","Receipts","Goods and services","All countries","Dollars","81","millions","6","v61914316","1.1.2.1","638093","","","","0"
"2017","Canada","2016A000011124","Receipts","Goods and services","All countries","Dollars","81","millions","6","v61914316","1.1.2.1","673325","","","","0"
"2018","Canada","2016A000011124","Receipts","Goods and services","All countries","Dollars","81","millions","6","v61914316","1.1.2.1","722691","","","","0"
"2019","Canada","2016A000011124","Receipts","Goods and services","All countries","Dollars","81","millions","6","v61914316","1.1.2.1","748501","","","","0"
"2020","Canada","2016A000011124","Receipts","Goods and services","All countries","Dollars","81","millions","6","v61914316","1.1.2.1","654469","","","","0"
"2021","Canada","2016A000011124","Receipts","Goods and services","All countries","Dollars","81","millions","6","v61914316","1.1.2.1","785755","","","","0"
"2022","Canada","2016A000011124","Receipts","Goods and services","All countries","Dollars","81","millions","6","v61914316","1.1.2.1","952159","","","","0"
"2023","Canada","2016A000011124","Receipts","Goods and services","All countries","Dollars","81","millions","6","v61914316","1.1.2.1","968840","","","","0"
"2010","Canada","2016A000011124","Receipts","Goods","All countries","Dollars","81","millions","6","v61914324","1.1.3.1","404852","","","","0"
"2011","Canada","2016A000011124","Receipts","Goods","All countries","Dollars","81","millions","6","v61914324","1.1.3.1","457585","","","","0"
"2012","Canada","2016A000011124","Receipts","Goods","All countries","Dollars","81","millions","6","v61914324","1.1.3.1","462638","","","","0"
"2013","Canada","2016A000011124","Receipts","Goods","All countries","Dollars","81","millions","6","v61914324","1.1.3.1","480517","","","","0"
"2014","Canada","2016A000011124","Receipts","Goods","All countries","Dollars","81","millions","6","v61914324","1.1.3.1","530629","","","","0"
"2015","Canada","2016A000011124","Receipts","Goods","All countries","Dollars","81","millions","6","v61914324","1.1.3.1","525313","","","","0"
"2016","Canada","2016A000011124","Receipts","Goods","All countries","Dollars","81","millions","6","v61914324","1.1.3.1","522301","","","","0"
"2017","Canada","2016A000011124","Receipts","Goods","All countries","Dollars","81","millions","6","v61914324","1.1.3.1","550525","","","","0"
"2018","Canada","2016A000011124","Receipts","Goods","All countries","Dollars","81","millions","6","v61914324","1.1.3.1","586165","","","","0"
"2019","Canada","2016A000011124","Receipts","Goods","All countries","Dollars","81","millions","6","v61914324","1.1.3.1","595599","","","","0"
"2020","Canada","2016A000011124","Receipts","Goods","All countries","Dollars","81","millions","6","v61914324","1.1.3.1","522476","","","","0"
"2021","Canada","2016A000011124","Receipts","Goods","All countries","Dollars","81","millions","6","v61914324","1.1.3.1","636758","","","","0"
"2022","Canada","2016A000011124","Receipts","Goods","All countries","Dollars","81","millions","6","v61914324","1.1.3.1","779188","","","","0"
"2023","Canada","2016A000011124","Receipts","Goods","All countries","Dollars","81","millions","6","v61914324","1.1.3.1","768256","","","","0"
"2010","Canada","2016A000011124","Receipts","Services","All countries","Dollars","81","millions","6","v61914334","1.1.5.1","81089","","","","0"
"2011","Canada","2016A000011124","Receipts","Services","All countries","Dollars","81","millions","6","v61914334","1.1.5.1","86668","","","","0"
"2012","Canada","2016A000011124","Receipts","Services","All countries","Dollars","81","millions","6","v61914334","1.1.5.1","91973","","","","0"
"2013","Canada","2016A000011124","Receipts","Services","All countries","Dollars","81","millions","6","v61914334","1.1.5.1","96472","","","","0"
"2014","Canada","2016A000011124","Receipts","Services","All countries","Dollars","81","millions","6","v61914334","1.1.5.1","102483","","","","0"
"2015","Canada","2016A000011124","Receipts","Services","All countries","Dollars","81","millions","6","v61914334","1.1.5.1","108641","","","","0"
"2016","Canada","2016A000011124","Receipts","Services","All countries","Dollars","81","millions","6","v61914334","1.1.5.1","115792","","","","0"
"2017","Canada","2016A000011124","Receipts","Services","All countries","Dollars","81","millions","6","v61914334","1.1.5.1","122800","","","","0"
"2018","Canada","2016A000011124","Receipts","Services","All countries","Dollars","81","millions","6","v61914334","1.1.5.1","136526","","","","0"
"2019","Canada","2016A000011124","Receipts","Services","All countries","Dollars","81","millions","6","v61914334","1.1.5.1","152902","","","","0"
