"REF_DATE","GEO","DGUID","Commodity","Supply and disposition","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010-01","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","24653","","","","0"
"2010-02","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","24574","","","","0"
"2010-03","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","27519","","","","0"
"2010-04","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","28853","","","","0"
"2010-05","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","29119","","","","0"
"2010-06","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","28782","","","","0"
"2010-07","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","27450","","","","0"
"2010-08","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","25820","","","","0"
"2010-09","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","24211","","","","0"
"2010-10","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","22759","","","","0"
"2010-11","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","21913","","","","0"
"2010-12","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","19292","","","","0"
"2011-01","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","18791","","","","0"
"2011-02","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","19532","","","","0"
"2011-03","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","21185","","","","0"
"2011-04","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","23442","","","","0"
"2011-05","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","22501","","","","0"
"2011-06","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","23197","","","","0"
"2011-07","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","22773","","","","0"
"2011-08","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","24208","","","","0"
"2011-09","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","22443","","","","0"
"2011-10","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","21352","","","","0"
"2011-11","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","19676","","","","0"
"2011-12","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","17881","","","","0"
"2012-01","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","19055","","","","0"
"2012-02","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","21262","","","","0"
"2012-03","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","23140","","","","0"
"2012-04","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","25964","","","","0"
"2012-05","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","27565","","","","0"
"2012-06","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","26656","","","","0"
"2012-07","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","23972","","","","0"
"2012-08","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","23831","","","","0"
"2012-09","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","25599","","","","0"
"2012-10","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","25751","","","","0"
"2012-11","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","24826","","","","0"
"2012-12","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","24175","","","","0"
"2013-01","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","25037","","","","0"
"2013-02","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","27086","","","","0"
"2013-03","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","27748","","","","0"
"2013-04","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","28820","","","","0"
"2013-05","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","28576","","","","0"
"2013-06","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","29120","","","","0"
"2013-07","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","28041","","","","0"
"2013-08","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","26603","","","","0"
"2013-09","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","25797","","","","0"
"2013-10","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","25407","","","","0"
"2013-11","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","22423","","","","0"
"2013-12","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","21681","","","","0"
"2014-01","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","22500","","","","0"
"2014-02","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","22672","","","","0"
"2014-03","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","24527","","","","0"
"2014-04","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","24691","","","","0"
"2014-05","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","24589","","","","0"
"2014-06","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","26502","","","","0"
"2014-07","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","26072","","","","0"
"2014-08","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","23762","","","","0"
"2014-09","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","23768","","","","0"
"2014-10","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","21258","","","","0"
"2014-11","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","20147","","","","0"
"2014-12","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","18395","","","","0"
"2015-01","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","17732","","","","0"
"2015-02","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","18900","","","","0"
"2015-03","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","18088","","","","0"
"2015-04","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","16178","","","","0"
"2015-05","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","16299","","","","0"
"2015-06","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","16277","","","","0"
"2015-07","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","16687","","","","0"
"2015-08","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","21706","","","","0"
"2015-09","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","22679","","","","0"
"2015-10","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","21240","","","","0"
"2015-11","Canada","2016A000011124","Creamery butter","Supply, total","Tonnes","288","units","0","v381842","1.1.1","20370","","","","0"
